Calendar,Mandi Modal Price (AgMarknet),WPI_Paddy,MSP_Fixed,USD_INR_Price,Area,Production,Yield
2012-12-03,1156.48,115.9,1250,54.775,5837298.0,14353736.0,2.46
2012-12-04,1176.53,115.9,1250,54.745,5837298.0,14353736.0,2.46
2012-12-05,1099.87,115.9,1250,54.435,5837298.0,14353736.0,2.46
2012-12-06,1221.37,115.9,1250,54.235,5837298.0,14353736.0,2.46
2012-12-07,1186.91,115.9,1250,54.345,5837298.0,14353736.0,2.46
2012-12-08,1199.33,115.9,1250,54.345,5837298.0,14353736.0,2.46
2012-12-09,1418.56,115.9,1250,54.345,5837298.0,14353736.0,2.46
2012-12-10,1186.08,115.9,1250,54.355,5837298.0,14353736.0,2.46
2012-12-11,1192.12,115.9,1250,54.265,5837298.0,14353736.0,2.46
2012-12-12,1131.99,115.9,1250,54.145,5837298.0,14353736.0,2.46
2012-12-13,1228.37,115.9,1250,54.515,5837298.0,14353736.0,2.46
2012-12-14,1227.13,115.9,1250,54.445,5837298.0,14353736.0,2.46
2012-12-15,1193.8,115.9,1250,54.445,5837298.0,14353736.0,2.46
2012-12-16,1427.74,115.9,1250,54.445,5837298.0,14353736.0,2.46
2012-12-17,1206.69,115.9,1250,54.855,5837298.0,14353736.0,2.46
2012-12-18,1138.93,115.9,1250,54.935,5837298.0,14353736.0,2.46
2012-12-19,1125.66,115.9,1250,54.685,5837298.0,14353736.0,2.46
2012-12-20,1189.82,115.9,1250,54.875,5837298.0,14353736.0,2.46
2012-12-21,1274.13,115.9,1250,55.065,5837298.0,14353736.0,2.46
2012-12-22,1289.97,115.9,1250,55.065,5837298.0,14353736.0,2.46
2012-12-23,1287.47,115.9,1250,55.065,5837298.0,14353736.0,2.46
2012-12-24,1309.14,115.9,1250,54.955,5837298.0,14353736.0,2.46
2012-12-25,1261.35,115.9,1250,55.015,5837298.0,14353736.0,2.46
2012-12-26,1259.11,115.9,1250,54.845,5837298.0,14353736.0,2.46
2012-12-27,1252.68,115.9,1250,54.935,5837298.0,14353736.0,2.46
2012-12-28,1272.48,115.9,1250,54.76,5837298.0,14353736.0,2.46
2012-12-29,1318.14,115.9,1250,54.76,5837298.0,14353736.0,2.46
2012-12-30,1270.99,115.9,1250,54.76,5837298.0,14353736.0,2.46
2012-12-31,1282.79,115.9,1250,54.995,5837298.0,14353736.0,2.46
2013-01-01,1269.03,116.7,1250,54.685,5837298.0,14353736.0,2.46
2013-01-02,1237.42,116.7,1250,54.24,5837298.0,14353736.0,2.46
2013-01-03,1278.62,116.7,1250,54.505,5837298.0,14353736.0,2.46
2013-01-04,1840.14,116.7,1250,54.94,5837298.0,14353736.0,2.46
2013-01-05,1272.91,116.7,1250,54.94,5837298.0,14353736.0,2.46
2013-01-06,1187.41,116.7,1250,54.94,5837298.0,14353736.0,2.46
2013-01-07,1254.71,116.7,1250,55.225,5837298.0,14353736.0,2.46
2013-01-08,1254.89,116.7,1250,54.965,5837298.0,14353736.0,2.46
2013-01-09,1229.66,116.7,1250,54.81,5837298.0,14353736.0,2.46
2013-01-10,1235.91,116.7,1250,54.425,5837298.0,14353736.0,2.46
2013-01-11,1243.24,116.7,1250,54.875,5837298.0,14353736.0,2.46
2013-01-12,1243.61,116.7,1250,54.875,5837298.0,14353736.0,2.46
2013-01-13,1258.02,116.7,1250,54.875,5837298.0,14353736.0,2.46
2013-01-14,1265.73,116.7,1250,54.525,5837298.0,14353736.0,2.46
2013-01-15,1234.81,116.7,1250,54.605,5837298.0,14353736.0,2.46
2013-01-16,1236.0,116.7,1250,54.665,5837298.0,14353736.0,2.46
2013-01-17,1286.01,116.7,1250,54.355,5837298.0,14353736.0,2.46
2013-01-18,1252.61,116.7,1250,53.745,5837298.0,14353736.0,2.46
2013-01-19,1274.85,116.7,1250,53.745,5837298.0,14353736.0,2.46
2013-01-20,1290.11,116.7,1250,53.745,5837298.0,14353736.0,2.46
2013-01-21,1261.73,116.7,1250,53.775,5837298.0,14353736.0,2.46
2013-01-22,1242.29,116.7,1250,53.725,5837298.0,14353736.0,2.46
2013-01-23,1226.67,116.7,1250,53.675,5837298.0,14353736.0,2.46
2013-01-24,1253.72,116.7,1250,53.71,5837298.0,14353736.0,2.46
2013-01-25,1255.84,116.7,1250,53.8,5837298.0,14353736.0,2.46
2013-01-26,1494.99,116.7,1250,53.8,5837298.0,14353736.0,2.46
2013-01-27,1283.83,116.7,1250,53.8,5837298.0,14353736.0,2.46
2013-01-28,1249.9,116.7,1250,54.055,5837298.0,14353736.0,2.46
2013-01-29,1282.79,116.7,1250,53.655,5837298.0,14353736.0,2.46
2013-01-30,1219.97,116.7,1250,53.245,5837298.0,14353736.0,2.46
2013-01-31,1224.3,116.7,1250,53.275,5837298.0,14353736.0,2.46
2013-02-01,1259.62,117.9,1250,53.17,5837298.0,14353736.0,2.46
2013-02-02,1242.05,117.9,1250,53.17,5837298.0,14353736.0,2.46
2013-02-03,1207.74,117.9,1250,53.17,5837298.0,14353736.0,2.46
2013-02-04,1213.79,117.9,1250,53.29,5837298.0,14353736.0,2.46
2013-02-05,1212.73,117.9,1250,53.035,5837298.0,14353736.0,2.46
2013-02-06,1179.42,117.9,1250,53.16,5837298.0,14353736.0,2.46
2013-02-07,1259.9,117.9,1250,53.225,5837298.0,14353736.0,2.46
2013-02-08,1216.82,117.9,1250,53.595,5837298.0,14353736.0,2.46
2013-02-09,1282.68,117.9,1250,53.595,5837298.0,14353736.0,2.46
2013-02-10,1204.22,117.9,1250,53.595,5837298.0,14353736.0,2.46
2013-02-11,1200.73,117.9,1250,53.965,5837298.0,14353736.0,2.46
2013-02-12,1226.49,117.9,1250,53.795,5837298.0,14353736.0,2.46
2013-02-13,1188.91,117.9,1250,53.825,5837298.0,14353736.0,2.46
2013-02-14,1223.75,117.9,1250,53.995,5837298.0,14353736.0,2.46
2013-02-15,1248.76,117.9,1250,54.325,5837298.0,14353736.0,2.46
2013-02-16,1244.89,117.9,1250,54.325,5837298.0,14353736.0,2.46
2013-02-17,1226.99,117.9,1250,54.325,5837298.0,14353736.0,2.46
2013-02-18,1209.99,117.9,1250,54.265,5837298.0,14353736.0,2.46
2013-02-19,1184.12,117.9,1250,54.13,5837298.0,14353736.0,2.46
2013-02-20,1180.01,117.9,1250,54.075,5837298.0,14353736.0,2.46
2013-02-21,1225.36,117.9,1250,54.475,5837298.0,14353736.0,2.46
2013-02-22,1204.68,117.9,1250,54.28,5837298.0,14353736.0,2.46
2013-02-23,1194.71,117.9,1250,54.28,5837298.0,14353736.0,2.46
2013-02-24,1192.59,117.9,1250,54.28,5837298.0,14353736.0,2.46
2013-02-25,1191.8,117.9,1250,54.0,5837298.0,14353736.0,2.46
2013-02-26,1215.42,117.9,1250,54.1,5837298.0,14353736.0,2.46
2013-02-27,1176.49,117.9,1250,53.865,5837298.0,14353736.0,2.46
2013-02-28,1199.28,117.9,1250,54.37,5837298.0,14353736.0,2.46
2013-03-01,1177.28,118.7,1250,54.905,5837298.0,14353736.0,2.46
2013-03-02,1198.33,118.7,1250,54.905,5837298.0,14353736.0,2.46
2013-03-03,1199.8,118.7,1250,54.905,5837298.0,14353736.0,2.46
2013-03-04,1208.27,118.7,1250,54.96,5837298.0,14353736.0,2.46
2013-03-05,1213.75,118.7,1250,54.955,5837298.0,14353736.0,2.46
2013-03-06,1209.45,118.7,1250,54.81,5837298.0,14353736.0,2.46
2013-03-07,1236.5,118.7,1250,54.46,5837298.0,14353736.0,2.46
2013-03-08,1252.54,118.7,1250,54.35,5837298.0,14353736.0,2.46
2013-03-09,1259.21,118.7,1250,54.35,5837298.0,14353736.0,2.46
2013-03-10,1276.73,118.7,1250,54.35,5837298.0,14353736.0,2.46
2013-03-11,1204.97,118.7,1250,54.34,5837298.0,14353736.0,2.46
2013-03-12,1206.27,118.7,1250,54.15,5837298.0,14353736.0,2.46
2013-03-13,1200.6,118.7,1250,54.37,5837298.0,14353736.0,2.46
2013-03-14,1259.7,118.7,1250,54.185,5837298.0,14353736.0,2.46
2013-03-15,1404.74,118.7,1250,54.03,5837298.0,14353736.0,2.46
2013-03-16,1234.96,118.7,1250,54.03,5837298.0,14353736.0,2.46
2013-03-17,1270.27,118.7,1250,54.03,5837298.0,14353736.0,2.46
