"State","Crop","Calendar","Mandi Arrival Quantity (AgMarknet) (AgMarknet)","Mandi Modal Price (AgMarknet)"
"Uttar Pradesh","Paddy","03 Dec 2011","24625.56","1107.61"
"Uttar Pradesh","Paddy","04 Dec 2011","9615.60","1146.14"
"Uttar Pradesh","Paddy","05 Dec 2011","33336.71","1064.49"
"Uttar Pradesh","Paddy","06 Dec 2011","19563.59","1099.43"
"Uttar Pradesh","Paddy","07 Dec 2011","20020.10","1090.59"
"Uttar Pradesh","Paddy","08 Dec 2011","16464.25","1104.38"
"Uttar Pradesh","Paddy","09 Dec 2011","18682.73","1084.73"
"Uttar Pradesh","Paddy","10 Dec 2011","23179.21","1093.74"
"Uttar Pradesh","Paddy","11 Dec 2011","15652.01","1125.80"
"Uttar Pradesh","Paddy","12 Dec 2011","21399.71","1103.27"
"Uttar Pradesh","Paddy","13 Dec 2011","54219.11","1076.44"
"Uttar Pradesh","Paddy","14 Dec 2011","54123.40","1065.39"
"Uttar Pradesh","Paddy","15 Dec 2011","14722.15","1077.04"
"Uttar Pradesh","Paddy","16 Dec 2011","17319.45","1090.51"
"Uttar Pradesh","Paddy","17 Dec 2011","100004.80","1082.45"
"Uttar Pradesh","Paddy","18 Dec 2011","11083.35","1126.82"
"Uttar Pradesh","Paddy","19 Dec 2011","38598.11","1085.78"
"Uttar Pradesh","Paddy","20 Dec 2011","58995.62","1052.37"
"Uttar Pradesh","Paddy","21 Dec 2011","20752.00","1088.18"
"Uttar Pradesh","Paddy","22 Dec 2011","18656.60","1101.90"
"Uttar Pradesh","Paddy","23 Dec 2011","20886.79","1100.62"
"Uttar Pradesh","Paddy","24 Dec 2011","20471.40","1083.76"
"Uttar Pradesh","Paddy","25 Dec 2011","19937.10","1247.65"
"Uttar Pradesh","Paddy","26 Dec 2011","19724.52","1079.43"
"Uttar Pradesh","Paddy","27 Dec 2011","18336.22","1102.62"
"Uttar Pradesh","Paddy","28 Dec 2011","21283.50","1104.68"
"Uttar Pradesh","Paddy","29 Dec 2011","18162.68","1089.40"
"Uttar Pradesh","Paddy","30 Dec 2011","20414.70","1102.01"
"Uttar Pradesh","Paddy","31 Dec 2011","17847.60","1084.95"
"Uttar Pradesh","Paddy","01 Jan 2012","2349.00","1166.23"
"Uttar Pradesh","Paddy","02 Jan 2012","53762.30","1078.11"
"Uttar Pradesh","Paddy","03 Jan 2012","50957.80","1082.81"
"Uttar Pradesh","Paddy","04 Jan 2012","48586.50","1079.58"
"Uttar Pradesh","Paddy","05 Jan 2012","58329.70","1080.14"
"Uttar Pradesh","Paddy","06 Jan 2012","61415.80","1086.01"
"Uttar Pradesh","Paddy","07 Jan 2012","7343.80","1069.61"
"Uttar Pradesh","Paddy","08 Jan 2012","2351.00","1146.46"
"Uttar Pradesh","Paddy","09 Jan 2012","46312.90","1078.29"
"Uttar Pradesh","Paddy","10 Jan 2012","56150.40","1078.36"
"Uttar Pradesh","Paddy","11 Jan 2012","42020.30","1077.35"
"Uttar Pradesh","Paddy","12 Jan 2012","44477.20","1078.02"
"Uttar Pradesh","Paddy","13 Jan 2012","52383.00","1087.45"
"Uttar Pradesh","Paddy","14 Jan 2012","21308.00","1077.09"
"Uttar Pradesh","Paddy","15 Jan 2012","1355.50","1096.76"
"Uttar Pradesh","Paddy","16 Jan 2012","21029.30","1072.53"
"Uttar Pradesh","Paddy","17 Jan 2012","20736.50","1077.11"
"Uttar Pradesh","Paddy","18 Jan 2012","18881.40","1077.85"
"Uttar Pradesh","Paddy","19 Jan 2012","70152.60","1080.46"
"Uttar Pradesh","Paddy","20 Jan 2012","49214.30","1079.52"
"Uttar Pradesh","Paddy","21 Jan 2012","23508.00","1080.65"
